ticker,signal_date,signal_close,rsi_at_signal,signal_range,signal_body_percentile,signal_atr_mult,pattern,entry_date,entry_price,exit_date,exit_price,exit_reason,bars_held,gross_return,net_return,pnl,equity_after
ACGL,2016-01-22,20.70104,1.5468480810442031,2.259969999999999,0.25385735208874394,2.546647137055814,Hammer,2016-01-29,20.78979,2016-02-05,21.27792,Profit target (+1.5%),1,0.02347931364386091,0.022992778479609604,2299.2778456616825,102299.2778456617
ADAM,2015-08-28,7.061028,0.8445229161841752,1.3306490000000002,0.3064512129043801,3.619957722397585,Hammer,2015-09-04,7.028835,2015-09-25,7.018104,Profit target (+1.5%),3,-0.001526711041018869,-0.0029473253211085956,-294.73253181612705,99705.26746818387
ADAM,2016-01-22,5.327981,4.891897206285634,0.9633310000000002,0.13242592629117042,2.0049531621999277,Hammer,2016-01-29,5.432451,2016-02-05,5.606568,Profit target (+1.5%),1,0.03205127851130185,0.030182708772915755,3009.37504810849,102714.64251629237
ADAM,2020-03-27,3.842464,1.2924462307462932,2.4903589999999998,0.25042413563666904,2.174421088373653,Hammer,2020-04-03,3.520582,2020-04-17,4.80811,Profit target (+1.5%),2,0.3657145324267408,0.3623594629198809,37219.62265899165,139934.26517528403
ADSK,2020-03-13,158.03,1.7858692193263153,30.80000000000001,0.2818181818181819,2.360008884633937,Hammer,2020-03-20,140.9892,2020-03-27,147.81,Profit target (+1.5%),1,0.0483781736473432,0.048305533135405525,4830.553308709999,104830.55330870999
AES,2020-03-20,9.502343,1.3066724116178108,3.674456000000001,0.25054511470541485,2.8419882759957438,Hammer,2020-03-27,9.590402,2020-04-03,11.00735,Profit target (+1.5%),1,0.1477464656851717,0.1466273117061694,14662.73115595421,114662.7311559542
AHCO,2020-03-20,13.75,8.434089824944564,4.770000000000001,0.2746331236897275,2.9048757439402975,Hammer,2020-03-27,13.8,2020-04-03,15.55,Profit target (+1.5%),1,0.12681159420289845,0.12604128938790296,12604.128926186168,112604.12892618617
ALG,2016-11-04,60.61341,4.922631338537158,6.405170000000005,0.23728956452365813,2.123065002970103,Hammer,2016-11-11,61.53108,2016-11-18,70.11503,RSI > 90,1,0.1395059212352523,0.1393320796514825,13933.207951215041,113933.20795121505
ALL,2015-08-28,46.58326,8.743949211048104,4.892440000000001,0.2216419618840496,2.366603072352239,Hammer,2015-09-04,46.3449,2015-10-16,48.10081,RSI > 90,6,0.03788787978828312,0.037668042433748467,3766.8042396080427,103766.80423960804
ALL,2017-09-08,73.90005,8.68646636845979,3.974989999999991,0.2925315535384984,2.0927446080903103,Hammer,2017-09-15,75.40923,2017-10-13,76.91015,RSI > 90,4,0.019903664312710845,0.01976974372078072,2051.4431244900297,105818.24736409808
AMP,2015-08-28,91.49932,3.79180741756052,15.920590000000004,0.062436756426741034,3.2311656666555346,Hammer,2015-09-04,91.21073,2015-10-30,92.88616,RSI > 90,8,0.018368781830822023,0.018258144730081083,1825.8144711822938,101825.81447118228
AMP,2020-03-13,102.466,1.9972993118522453,24.87973000000001,0.22529183395479005,2.2627131002742393,Hammer,2020-03-20,82.07043,2020-04-03,92.94626,Profit target (+1.5%),2,0.13251825292008323,0.13238834082258233,13480.550617267363,115306.36508844966
AMWD,2018-03-09,121.75,9.256966859332962,30.200000000000003,0.29470198675496706,2.7419192820765605,Hammer,2018-03-16,120.3,2018-06-08,103.4,RSI > 90,12,-0.14048212801330007,-0.1405594114957815,-14055.941135522207,85944.0588644778
APO,2020-03-13,30.9693,0.22405203207431157,6.710729999999998,0.17201556313545585,2.1193058021212625,Hammer,2020-03-20,25.84364,2020-04-03,30.36628,Profit target (+1.5%),2,0.17500011608271904,0.17457939760080224,17457.939742622286,117457.93974262227
ARES,2020-03-13,26.13004,4.8775581544766595,5.12978,0.14308605827150517,2.234146279256278,Hammer,2020-03-20,22.20723,2020-04-03,24.70131,Profit target (+1.5%),2,0.11230936951614412,0.11183388610688799,11183.388599505412,111183.38859950542
ARI,2016-01-22,4.994312,4.158252735381026,0.7175729999999998,0.17333288738567404,2.916001905755421,Hammer,2016-01-29,4.975177,2016-02-05,5.048529,Profit target (+1.5%),1,0.014743596056984387,0.012720833014569582,1272.083300184875,101272.08330018487
ARMK,2020-03-20,13.02234,0.5717525295150381,8.913905,0.2646617840329239,3.162126694305301,Hammer,2020-03-27,13.26362,2020-04-03,14.18182,Profit target (+1.5%),1,0.06922695312441096,0.06844720852658377,6844.720845813657,106844.72084581364
