ticker,signal_date,signal_close,rsi_at_signal,signal_range,signal_body_percentile,signal_atr_mult,pattern,entry_date,entry_price,exit_date,exit_price,exit_reason,bars_held,gross_return,net_return,pnl,equity_after,mfe,mfe_1w,mfe_2w,mfe_3w,mfe_4w,mfe_5w
CHRW,2026-05-15,163.03167724609375,9.959660256002365,21.780410766601562,0.3962481461061047,1.6468606220347493,Hammer,2026-05-22,164.45680236816406,2026-06-18,192.22000122070312,RSI > 90,4,0.16881757672988496,0.1687516399121709,16875.16397434193,116875.16397434194,0.18572170437474445,0.11662215094841351,0.13907395739090975,0.18572170437474445,0.18572170437474445,0.18572170437474445
DLR,2026-06-12,182.97999572753906,9.057748680874653,9.476806640625,0.39308324960713087,1.1941080512128466,Hammer,2026-06-18,184.83999633789062,2026-06-22,195.5399932861328,End of data,1,0.05788788768791364,0.05783222245681572,5783.22223989835,105783.22223989836,0.06199960474419239,0.06199960474419239,0.06199960474419239,0.06199960474419239,0.06199960474419239,0.06199960474419239
ROL,2026-06-05,47.099998474121094,1.2438862361865262,3.4324989318847656,0.22141365556468096,1.2104495640539743,Hammer,2026-06-12,47.09000015258789,2026-06-22,44.40999984741211,End of data,2,-0.05691230190043861,-0.05711859637881247,-5711.859632169388,94288.14036783061,0.030367387991974634,0.030367387991974634,0.030367387991974634,0.030367387991974634,0.030367387991974634,0.030367387991974634
TSN,2026-06-12,57.43000030517578,4.188665177611,3.0849990844726562,0.3760130280915132,1.0018043096129587,Hammer,2026-06-18,57.290000915527344,2026-06-22,55.5099983215332,End of data,1,-0.031070039545272654,-0.03124186343295857,-3124.186340171671,96875.81365982833,0.01134574447188517,0.01134574447188517,0.01134574447188517,0.01134574447188517,0.01134574447188517,0.01134574447188517
VTR,2026-06-05,82.0199966430664,7.552570452971196,6.225006103515625,0.36626573063177453,1.7369654341979794,Hammer,2026-06-12,81.77999877929688,2026-06-22,83.04000091552734,End of data,2,0.01540721637366227,0.01528400262747082,1528.4002612186814,101528.40026121869,0.041941799417635935,0.041941799417635935,0.041941799417635935,0.041941799417635935,0.041941799417635935,0.041941799417635935
