ticker,signal_date,signal_close,rsi_at_signal,signal_range,signal_body_percentile,signal_atr_mult,pattern,entry_date,entry_price,exit_date,exit_price,exit_reason,bars_held,gross_return,net_return,pnl,equity_after
AAPL,2015-07-10,27.52686,2.0454190892681936,1.5652399999999993,0.4208300324550867,1.4304170428784795,Hammer,2015-07-17,27.91761,2015-11-13,27.24723,RSI(2) acum > 180,17,-0.024012800522680955,-0.02436663334838694,-2436.6633324020313,97563.33666759796
AAPL,2018-11-16,45.96059,0.5004558062279472,3.305799999999998,0.45402020690906747,1.3043391719880555,Hammer,2018-11-23,45.12226,2019-02-15,40.79613,RSI(2) acum > 180,12,-0.09587573849359499,-0.09608671122509987,-9374.540147162144,88188.79652043583
ABNB,2026-02-13,121.35,7.105096655974563,11.4799,0.49303565362067703,1.3737851178481468,Hammer,2026-02-20,122.08,2026-03-19,130.79,End of data,4,0.07134665792922679,0.07126182577712255,7126.18257058607,107126.18257058608
ADBE,2016-02-12,76.67,2.0643054803150136,7.060000000000002,0.2351274787535405,1.318381693721703,Hammer,2016-02-19,77.13,2016-05-27,96.71,RSI(2) acum > 180,14,0.2538571243355374,0.2537110261230311,25371.102586932007,125371.102586932
ADBE,2018-11-23,225.56,7.404755045602087,31.629999999999995,0.41384761302560874,1.878207039340136,Hammer,2018-11-30,229.19,2019-02-22,258.98,RSI(2) acum > 180,12,0.12997949299707678,0.1299330264621828,16289.846773731024,141660.949360663
ADBE,2019-10-04,276.96,5.2440900486103885,15.79989999999998,0.1702479129614761,1.083959731366223,Hammer,2019-10-11,276.32,2019-11-22,297.55,RSI(2) acum > 180,6,0.07683121019108285,0.07679363068850106,10878.658617306548,152539.60797796957
ADBE,2020-03-13,335.5,9.496177827065381,52.999900000000025,0.45886879031847194,2.569665578841586,Hammer,2020-03-20,288.3558,2020-05-15,365.84,RSI(2) acum > 180,8,0.2687103918145568,0.2686710537632021,40982.977175083855,193522.5851530534
ADBE,2021-10-08,576.86,1.7112036321729676,34.004999999999995,0.3398000294074394,1.2809670867525873,Hammer,2021-10-15,574.5,2021-11-12,666.56,RSI(2) acum > 180,4,0.160243690165361,0.1602248892524868,31007.134742995797,224529.7198960492
ADI,2016-01-15,40.75538,6.063082854903783,4.180239999999998,0.49510793638642664,1.3540322321598794,Hammer,2016-01-22,41.17259,2016-03-18,45.83326,RSI(2) acum > 180,8,0.11319836813763717,0.11294177245438604,11294.177234144427,111294.17723414442
ADI,2020-03-13,89.80251,8.299301090887667,14.722610000000003,0.2444987675418964,1.9807487605237966,Hammer,2020-03-20,80.84835,2020-10-23,113.3401,RSI(2) acum > 180,31,0.4018851343286538,0.401736600895325,44710.944416776096,156005.1216509205
ADP,2025-09-19,287.7471,9.61418575862703,12.475600000000043,0.23143576260861434,1.176307042134139,Hammer,2025-09-26,285.2441,2025-12-19,264.1475,RSI(2) acum > 180,12,-0.07395981196455959,-0.0739935726352861,-7399.357256129253,92600.64274387075
ADSK,2016-01-22,49.03,3.5109156070912917,4.770000000000003,0.18029350104821779,1.212176106435263,Hammer,2016-01-29,48.81,2016-03-18,56.21,RSI(2) acum > 180,7,0.15160827699241963,0.15138789306565598,15138.789291426812,115138.7892914268
ADSK,2020-03-13,158.03,1.7858692193263153,30.80000000000001,0.2818181818181819,2.360008884633937,Hammer,2020-03-20,140.9892,2020-06-05,210.0,RSI(2) acum > 180,11,0.48947578963495064,0.48938750672013454,56347.484961758804,171486.2742531856
ADSK,2021-05-14,277.63,6.50261993248661,20.25,0.41333333333333355,1.0499605276428856,Hammer,2021-05-21,275.0,2021-08-06,321.41,RSI(2) acum > 180,11,0.16876363636363645,0.16872420501445426,28933.88526532553,200420.15951851115
AEP,2021-06-11,71.27003,2.8396668671241656,3.666080000000008,0.3532137869331817,1.3704275610679906,Hammer,2021-06-18,71.24481,2021-08-27,77.43579,RSI(2) acum > 180,10,0.08689727714903017,0.08675082782676889,8675.082774001807,108675.0827740018
AEP,2023-10-06,65.75396,5.51959083833178,5.082520000000002,0.49641516413117776,1.4870556760173514,Hammer,2023-10-13,66.03632,2024-03-08,78.85087,RSI(2) acum > 180,21,0.19405306049761695,0.19388694835294015,21070.6801399837,129745.76291398551
ALNY,2016-01-22,76.12,9.322404809054703,13.279899999999998,0.20330725381968237,1.0356218788253186,Hammer,2016-01-29,75.58,2016-04-15,69.39,RSI(2) acum > 180,11,-0.08189997353797296,-0.08202685718065751,-8202.685709863064,91797.31429013693
ALNY,2020-03-13,101.57,4.632969116323423,29.189999999999998,0.43131209318259695,2.634472584833078,Hammer,2020-03-20,118.81,2020-04-24,136.62,RSI(2) acum > 180,5,0.1499032068007744,0.14981273408239693,13752.406621474092,105549.72091161102
ALNY,2026-02-13,314.4,0.1065808024854249,31.923000000000002,0.4862638223224642,1.0308395295690334,Hammer,2026-02-20,316.8,2026-03-19,311.1,End of data,4,-0.0179924242424242,-0.018023705433942012,-1902.3970764432693,103647.32383516776
AMAT,2020-03-13,48.17731,4.7073648934623264,10.47992,0.4769654730188785,2.1982070034748373,Hammer,2020-03-20,41.70192,2020-11-20,69.58587,RSI(2) acum > 180,35,0.668649069395366,0.6683291405838645,66832.91399155353,166832.91399155353
AMAT,2021-05-14,119.6205,5.982664087167777,16.793699999999987,0.4042825583403295,1.7175121414541223,Hammer,2021-05-21,116.9086,2021-11-19,150.951,RSI(2) acum > 180,26,0.2911881589549441,0.2910901725718822,48563.42167590787,215396.33566746142
AMGN,2021-10-15,180.2839,9.28515040573862,8.171099999999996,0.21762063859211112,1.0074697128097563,Hammer,2021-10-22,179.0001,2021-12-31,195.7665,RSI(2) acum > 180,10,0.09366698677821961,0.09360850612636183,9360.850603275332,109360.85060327534
AMGN,2024-12-20,253.3219,6.502287376457204,18.64949999999999,0.4801415587549263,1.1278692437321685,Hammer,2024-12-27,253.0621,2025-01-31,266.7776,RSI(2) acum > 180,5,0.054198159266045876,0.05415757322860235,5922.718268966406,115283.56887224175
AMGN,2025-04-11,277.281,5.446695595039685,28.641500000000008,0.37102107082380437,1.757668560196385,Hammer,2025-04-17,278.0469,2025-06-20,289.8357,RSI(2) acum > 180,9,0.04239860253791705,0.04236187560667628,4883.628199175975,120167.19707141772
AMZN,2018-11-23,75.103,8.461977946830459,8.0595,0.4909113468577462,1.2344263106018447,Hammer,2018-11-30,76.95,2019-04-12,91.6615,RSI(2) acum > 180,19,0.19118258609486682,0.1910402183094016,19104.021811836137,119104.02181183614
AMZN,2025-02-28,212.28,4.713624542481483,15.810000000000002,0.4864010120177101,1.3337114835984916,Hammer,2025-03-07,213.352,2025-07-18,225.07,RSI(2) acum > 180,19,0.054923319209569055,0.05487516228668376,6535.852519385378,125639.87433122151
ASML,2015-07-10,92.72661,3.5530362234762265,6.647959999999998,0.41423384015547665,1.4549096199915321,Hammer,2015-07-17,93.71076,2016-03-24,87.99548,RSI(2) acum > 180,36,-0.06098851401909444,-0.061091965748343635,-6109.196568725169,93890.80343127482
AVGO,2018-02-09,18.89965,5.987269502158043,1.5328400000000002,0.48795699485921723,1.3192541019318975,Hammer,2018-02-16,19.08904,2018-06-22,21.74515,RSI(2) acum > 180,18,0.1391431942098711,0.1385830342871387,13858.303414855567,113858.30341485556
AVGO,2020-03-13,20.15019,1.3320967259046341,5.37866,0.47121030145054754,2.867303742461351,Hammer,2020-03-20,17.90994,2020-06-12,27.77916,RSI(2) acum > 180,12,0.5510470721844967,0.5503350834554847,62660.218849254205,176518.52226410975
AVGO,2021-05-14,40.03901,2.5611338970836215,2.6647900000000035,0.23516674859932807,1.1332598848636344,Hammer,2021-05-21,40.08615,2021-10-01,46.00099,RSI(2) acum > 180,19,0.14755320727982113,0.14728537345523884,25998.596447437703,202517.11871154743
AVGO,2025-03-07,193.2141,7.4973827903489365,26.2132,0.344044221995025,1.2526821821685794,Hammer,2025-03-14,187.9021,2025-05-23,220.5285,RSI(2) acum > 180,10,0.1736351004060095,0.17357726238125132,35152.36701613692,237669.48572768437
AXON,2020-03-13,62.43,3.2224621601052235,18.659999999999997,0.4335476956055733,2.2728847094289653,Hammer,2020-03-20,54.32,2020-06-19,91.8,RSI(2) acum > 180,13,0.6899852724594993,0.6897376898297284,68973.76891399907,168973.76891399905
BKNG,2025-03-14,4431.516,5.323450600878175,301.45500000000084,0.387404421887182,1.1269480760754,Hammer,2025-03-21,4440.1,2025-05-09,5135.639,RSI(2) acum > 180,7,0.15664939978829295,0.15662783329427557,15662.783315331195,115662.7833153312
BKR,2017-10-20,26.30813,4.48871402314623,2.23057,0.35460891162348684,1.3169874113678801,Hammer,2017-10-27,26.18157,2018-01-19,29.49944,RSI(2) acum > 180,12,0.12672540264010146,0.12631933086311026,12631.93307367909,112631.9330736791
BKR,2020-01-24,19.21504,6.6593187719101365,1.4037199999999999,0.3892229219502465,1.0787596196689675,Hammer,2020-01-31,18.13073,2020-06-12,16.20459,RSI(2) acum > 180,19,-0.10623620780851073,-0.10675831631811901,-12024.395526576649,100607.53754710245
BKR,2024-09-13,32.39729,4.388962278407519,1.9108600000000031,0.41624713479794617,1.1003714118607255,Hammer,2024-09-20,32.76588,2024-11-22,42.4685,RSI(2) acum > 180,9,0.29611962199702857,0.2957692927379427,29756.620194655887,130364.15774175833
BKR,2025-03-14,41.98943,4.028417898338134,2.578179999999996,0.1653763507590623,1.0087568520222432,Hammer,2025-03-21,42.24427,2025-09-19,46.09628,RSI(2) acum > 180,26,0.09118420083954581,0.09093671914331307,11854.888787061951,142219.0465288203
CCEP,2017-11-10,31.17493,6.85661744779577,2.162510000000001,0.23357579849341817,1.8647693040663473,Hammer,2017-11-17,30.7882,2018-07-20,33.74942,RSI(2) acum > 180,35,0.09618035481125897,0.0958399906472857,9583.999055144574,109583.99905514457
CCEP,2022-02-25,47.51163,3.4754349912586946,4.298589999999997,0.2869522331741348,1.6152965911968975,Hammer,2022-03-04,46.20714,2022-11-11,43.75424,RSI(2) acum > 180,36,-0.053084869567776694,-0.053295519315919984,-5840.33613251888,103743.66292262568
CCEP,2024-04-19,64.02813,4.92572624799854,2.510719999999999,0.3811336986999733,1.0840304304180566,Hammer,2024-04-26,64.23657,2024-05-17,70.75732,RSI(2) acum > 180,3,0.10151149104007273,0.10134792782928573,10514.205252113807,114257.86817473949
CCEP,2024-10-04,74.71277,9.2990695245457,3.3520600000000087,0.4600007159776364,1.314058237658757,Hammer,2024-10-11,73.75504,2025-02-21,82.71872,RSI(2) acum > 180,19,0.12153311827910351,0.12138930510341382,13869.683206459405,128127.5513811989
CDNS,2020-03-13,62.47,6.390337857523178,8.670000000000002,0.2871972318339102,1.7836977190416239,Hammer,2020-03-20,55.76,2020-04-24,77.73,RSI(2) acum > 180,5,0.3940100430416069,0.393795391374518,39379.53909807227,139379.53909807227
CDNS,2022-01-28,145.42,2.3374351745297446,15.379999999999995,0.4278283485045523,1.3594040813567856,Hammer,2022-02-04,145.39,2022-08-12,186.82,RSI(2) acum > 180,27,0.28495769997936593,0.2848791223907287,39706.32073777677,179085.85983584906
CDNS,2026-02-06,283.52,5.208224951703542,33.59099999999995,0.38164984668512436,1.506461714346659,Hammer,2026-02-13,283.49,2026-03-19,287.4,End of data,5,0.01379237362869934,0.013756856381946554,2463.6584513355283,181549.51828718456
CHTR,2020-03-13,454.19,5.230241235928759,64.95999999999998,0.3760775862068968,2.465094396754482,Hammer,2020-03-20,414.98,2020-05-08,514.12,RSI(2) acum > 180,7,0.23890307966648994,0.23887610395556466,23887.61037166886,123887.61037166885
CHTR,2025-10-31,233.84,3.9437641850903162,33.91499999999999,0.47176765443019325,1.4327042697172798,Hammer,2025-11-07,231.305,2026-02-20,238.54,RSI(2) acum > 180,15,0.03127904714554375,0.031235138990964462,3869.6467253478804,127757.25709701674
CMCSA,2019-12-13,34.32546,9.444751562425026,2.425940000000004,0.49025944582306213,1.643676408378728,Hammer,2019-12-20,34.56963,2020-01-24,37.5739,RSI(2) acum > 180,5,0.08690489310993499,0.08660309596950146,8660.309588289834,108660.30958828985
CMCSA,2020-03-13,31.1243,5.441443305478927,4.1784,0.2935621290446105,1.9765450665593478,Hammer,2020-03-20,27.4128,2020-06-12,33.39828,RSI(2) acum > 180,12,0.21834617405007872,0.2179416291606183,23681.60487308744,132341.91446137728
CMCSA,2023-10-06,37.65507,4.617813672172346,1.7701399999999978,0.46904764594890563,1.1866655171361165,Hammer,2023-10-13,37.6464,2024-10-04,36.9752,RSI(2) acum > 180,51,-0.01782906200858514,-0.01809228873295553,-2394.368125512973,129947.54633586432
CMCSA,2025-10-31,25.77455,1.3885574422726563,3.671590000000002,0.4741624200959252,2.405633702436814,Hammer,2025-11-07,25.59398,2026-01-02,27.46446,RSI(2) acum > 180,8,0.07308281087974589,0.07267789575990936,9444.314217409625,139391.86055327393
COST,2016-05-20,120.5825,2.753118566896404,6.768999999999991,0.4856404195597586,1.2281071722414802,Hammer,2016-05-27,120.7092,2016-06-24,132.9965,RSI(2) acum > 180,4,0.10179257256282037,0.10170551600391678,10170.551590221126,110170.55159022113
COST,2022-05-13,474.937,3.5702446561913774,29.48259999999999,0.47070136283774167,1.0271272308232333,Hammer,2022-05-20,473.8578,2022-07-22,498.4226,RSI(2) acum > 180,9,0.05184002458121406,0.05181837443243062,5708.858888020635,115879.41047824176
CPRT,2015-10-02,4.2475,5.674718347422981,0.18874999999999975,0.08609271523178989,1.1466643139614714,Hammer,2015-10-09,4.285,2015-11-06,4.5375,RSI(2) acum > 180,4,0.058926487747957834,0.05652680652680647,5652.680647027968,105652.68064702796
CPRT,2018-02-09,10.385,6.42756929804608,1.0549999999999997,0.4478672985781993,2.3964376722967704,Hammer,2018-02-16,10.5875,2018-03-23,12.7325,RSI(2) acum > 180,5,0.20259740259740244,0.20155770592400282,21295.111914641137,126947.79256166908
CPRT,2020-03-13,18.46,1.0924882901437627,2.637500000000003,0.49289099526066327,1.7686047858403726,Hammer,2020-03-20,16.5,2020-08-07,23.3625,RSI(2) acum > 180,20,0.415909090909091,0.4151772190245382,52705.8314243519,179653.623986021
CPRT,2021-03-05,26.5975,7.574653275571933,2.215,0.4954853273137699,1.2222888446565037,Hammer,2021-03-12,26.325,2021-04-23,30.705,RSI(2) acum > 180,6,0.16638176638176638,0.16597037599696174,29817.179492359515,209470.8034783805
